date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-10-23,00,BTC-231027-33000-C,BTCUSDT,C,231027-33000,75.00000000,100.00000000,65.00000000,90.00000000,29.71000000,29.71000000,80.00000000,90.00000000,8.71000000,16.48000000,"",0.62905252,84.90000000,0.61981410,0.09250348,0.00008187,5.41260825,-39.08507011,44.79000000,1349056.18015695
2023-10-23,00,BTC-231124-40000-P,BTCUSDT,P,231124-40000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,8500.00000000,29640.00000000,1.50000000,1.50000000,"",6.96933746,10300.10000000,0.77500000,-0.86768820,0.00003084,19.18373857,-23.02047803,0E-8,0E-8
2023-10-23,01,BTC-231229-34000-C,BTCUSDT,C,231229-34000,725.00000000,725.00000000,725.00000000,725.00000000,0E-8,0E-8,1430.00000000,1460.00000000,2.83000000,2.35000000,"",0.53434968,1444.90000000,0.53123981,0.34994338,0.00005354,48.23448652,-19.05135683,4.98000000,150940.70036045
2023-10-23,01,BTC-240927-22000-P,BTCUSDT,P,240927-22000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,1540.00000000,2080.00000000,2.42000000,4.00000000,"",0.52847683,1806.00000000,0.49339175,-0.18064413,0.00001820,77.03777164,-5.58556941,0E-8,0E-8
2023-10-23,01,BTC-240927-26000-C,BTCUSDT,C,240927-26000,7670.00000000,7670.00000000,7670.00000000,7670.00000000,0E-8,0E-8,7480.00000000,9975.00000000,2.88000000,2.56000000,"",0.71668863,8728.00000000,0.59181869,0.71084480,0.00001972,100.13446195,-8.70851493,0.02000000,606.18755165
2023-10-23,02,BTC-231124-20000-P,BTCUSDT,P,231124-20000,50.00000000,50.00000000,50.00000000,50.00000000,0E-8,0E-8,40.00000000,50.00000000,5.82000000,12.00000000,"",0.71921766,44.00000000,0.70673138,-0.01804673,0.00000696,4.00350866,-4.39234801,234.22000000,7117931.41220033
2023-10-23,03,BTC-231027-26000-P,BTCUSDT,P,231027-26000,25.00000000,25.00000000,20.00000000,25.00000000,7.03000000,7.03000000,20.00000000,40.00000000,2.54000000,3.42000000,"",0.87976635,28.00000000,0.83090067,-0.02696037,0.00002282,2.04409259,-20.38119818,262.39000000,8067231.29795515
2023-10-23,03,BTC-231229-35000-P,BTCUSDT,P,231229-35000,5895.00000000,5895.00000000,5895.00000000,5895.00000000,0E-8,0E-8,5380.00000000,5465.00000000,2.46000000,1.57000000,"",0.50548077,5422.00000000,0.49630284,-0.69305534,0.00005369,46.30645847,-17.10820573,41.10000000,1263627.44901085
2023-10-23,04,BTC-231229-35000-C,BTCUSDT,C,231229-35000,1060.00000000,1500.00000000,1060.00000000,1500.00000000,1.54000000,1.54000000,1505.00000000,1560.00000000,3.75000000,4.23000000,"",0.58716476,1532.00000000,0.58147043,0.34221374,0.00004805,48.29345068,-20.91710144,93.33000000,2862844.85958101
2023-10-23,05,BTC-231124-32000-P,BTCUSDT,P,231124-32000,2925.00000000,2925.00000000,2390.00000000,2410.00000000,17.70000000,17.70000000,2420.00000000,2440.00000000,1.50000000,2.50000000,"",0.47668457,2429.00000000,0.47388077,-0.58104086,0.00009032,35.66149960,-26.33656008,16.93000000,521439.43448131
