date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-10-20,04,BTC-231124-36000-C,BTCUSDT,C,231124-36000,105.00000000,105.00000000,105.00000000,105.00000000,0E-8,0E-8,245.00000000,255.00000000,1.93000000,4.27000000,"",0.52149177,249.00000000,0.51867664,0.11598642,0.00004140,17.76167562,-13.11396893,51.75000000,1517430.55314697
2023-10-20,04,BTC-240329-26000-P,BTCUSDT,P,240329-26000,1990.00000000,1990.00000000,1990.00000000,1990.00000000,0.70000000,0.70000000,1825.00000000,1925.00000000,1.50000000,2.42000000,"",0.45571923,1874.00000000,0.44822484,-0.29034774,0.00003923,66.71855385,-9.28003449,67.65000000,1983655.59266459
2023-10-20,04,BTC-240329-35000-P,BTCUSDT,P,240329-35000,8615.00000000,8615.00000000,8615.00000000,8615.00000000,0E-8,0E-8,7205.00000000,7325.00000000,2.47000000,2.38000000,"",0.45261979,7264.00000000,0.44406593,-0.67462688,0.00004163,70.14457901,-9.66604046,10.50000000,307884.46005881
2023-10-20,05,BTC-231103-27000-C,BTCUSDT,C,231103-27000,1590.00000000,1590.00000000,1590.00000000,1590.00000000,0E-8,0E-8,2380.00000000,2710.00000000,1.50000000,2.97000000,"",0.59505701,2532.20000000,0.48822880,0.80861792,0.00009726,15.64631008,-27.12061378,10.99000000,321089.30138357
2023-10-20,05,BTC-231229-35000-P,BTCUSDT,P,231229-35000,7350.00000000,7350.00000000,7350.00000000,7350.00000000,0E-8,0E-8,5750.00000000,7000.00000000,1.50000000,2.78000000,"",0.59973240,6138.00000000,0.37486620,-0.84521935,0.00004960,30.48425726,-8.15280555,31.53000000,921196.14855541
2023-10-20,05,BTC-240329-30000-P,BTCUSDT,P,240329-30000,4485.00000000,4485.00000000,4485.00000000,4485.00000000,0E-8,0E-8,3775.00000000,3860.00000000,1.50000000,2.40000000,"",0.44216990,3817.00000000,0.43667376,-0.47825102,0.00004699,77.33252520,-10.48186720,9.92000000,289827.64965651
2023-10-20,05,BTC-240329-65000-C,BTCUSDT,C,240329-65000,430.00000000,430.00000000,430.00000000,430.00000000,0E-8,0E-8,320.00000000,385.00000000,2.45000000,3.52000000,"",0.71454108,351.00000000,0.70197314,0.06928481,0.00000978,25.86047665,-5.63477249,9.00000000,262948.47247062
2023-10-20,05,BTC-240628-26000-P,BTCUSDT,P,240628-26000,2640.00000000,2640.00000000,2640.00000000,2640.00000000,0E-8,0E-8,2440.00000000,2990.00000000,3.68000000,3.60000000,"",0.48617482,2714.00000000,0.45402914,-0.30912376,0.00003196,85.57146428,-7.70616928,0.03000000,876.49490824
2023-10-20,06,BTC-231027-27000-P,BTCUSDT,P,231027-27000,180.00000000,180.00000000,80.00000000,85.00000000,20.87000000,20.87000000,70.00000000,75.00000000,11.09000000,4.49000000,"",0.44208050,72.00000000,0.43817401,-0.08627330,0.00008829,6.39991632,-19.91199327,259.92000000,7607450.23991217
2023-10-20,07,BTC-231027-22000-C,BTCUSDT,C,231027-22000,5490.00000000,5490.00000000,5490.00000000,5490.00000000,0E-8,0E-8,7045.00000000,7950.00000000,3.00000000,3.01000000,"",2.18286514,7244.00000000,0.77500000,0.99658397,0.00000328,0.41641741,-2.30516402,11.74000000,343233.51049445
