date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-10-21,00,BTC-231027-33000-C,BTCUSDT,C,231027-33000,135.00000000,135.00000000,45.00000000,45.00000000,2.42000000,2.42000000,0E-8,75.00000000,0E-8,2.86000000,"",0.56410253,145.90000000,0.66955127,0.11851988,0.00007614,7.71338022,-41.04233631,2.42000000,71699.31642199
2023-10-21,00,BTC-231124-40000-P,BTCUSDT,P,231124-40000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,9235.00000000,29315.00000000,1.50000000,1.50000000,"",6.59435272,10772.60000000,0.77500000,-0.87387112,0.00002943,18.81157465,-21.25730075,0E-8,0E-8
2023-10-21,01,BTC-231229-34000-C,BTCUSDT,C,231229-34000,725.00000000,725.00000000,725.00000000,725.00000000,0E-8,0E-8,1075.00000000,1125.00000000,17.50000000,6.94000000,"",0.51134884,1099.90000000,0.50574452,0.29828360,0.00005331,44.60941598,-16.28950452,4.98000000,147039.57358023
2023-10-21,01,BTC-240927-22000-P,BTCUSDT,P,240927-22000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,1760.00000000,2180.00000000,3.58000000,3.38000000,"",0.51976979,1968.00000000,0.49321949,-0.19619001,0.00001962,79.13692252,-5.70224567,0E-8,0E-8
2023-10-21,01,BTC-240927-26000-C,BTCUSDT,C,240927-26000,7670.00000000,7670.00000000,7670.00000000,7670.00000000,0E-8,0E-8,7150.00000000,8805.00000000,3.94000000,2.75000000,"",0.65449595,7978.00000000,0.57195008,0.69389951,0.00002145,100.33003948,-8.38331219,0.02000000,590.52037582
2023-10-21,02,BTC-231124-20000-P,BTCUSDT,P,231124-20000,50.00000000,50.00000000,40.00000000,50.00000000,18.37000000,18.37000000,45.00000000,50.00000000,5.39000000,3.11000000,"",0.65760672,47.00000000,0.65199196,-0.02044182,0.00000838,4.45245869,-4.24306889,234.22000000,6905624.93244659
2023-10-21,03,BTC-231027-26000-P,BTCUSDT,P,231027-26000,40.00000000,40.00000000,25.00000000,35.00000000,61.52000000,61.52000000,30.00000000,35.00000000,7.26000000,12.22000000,"",0.57615757,32.00000000,0.56800038,-0.03631694,0.00003644,3.06469174,-14.11413077,250.30000000,7409856.03247267
2023-10-21,03,BTC-231229-35000-P,BTCUSDT,P,231229-35000,7350.00000000,7350.00000000,5890.00000000,5895.00000000,11.53000000,11.53000000,5995.00000000,6075.00000000,2.39000000,1.64000000,"",0.44826746,6034.00000000,0.43769002,-0.78335035,0.00005203,37.82156403,-11.96683253,41.10000000,1216720.26741761
2023-10-21,04,BTC-231229-35000-C,BTCUSDT,C,231229-35000,810.00000000,1050.00000000,810.00000000,940.00000000,2.59000000,2.59000000,915.00000000,960.00000000,17.50000000,2.50000000,"",0.52103221,937.00000000,0.51564574,0.26064415,0.00004897,41.77230806,-15.58025982,95.34000000,2818080.37001571
2023-10-21,05,BTC-231124-32000-P,BTCUSDT,P,231124-32000,3220.00000000,3220.00000000,2985.00000000,2985.00000000,5.80000000,5.80000000,2955.00000000,2990.00000000,2.43000000,1.77000000,"",0.39252281,2972.00000000,0.38668633,-0.72820831,0.00009492,29.98252684,-17.00806237,18.77000000,554866.88808574
2023-10-21,05,BTC-231124-34000-C,BTCUSDT,C,231124-34000,370.00000000,640.00000000,370.00000000,440.00000000,37.88000000,37.88000000,410.00000000,425.00000000,2.50000000,2.98000000,"",0.48001826,417.00000000,0.47694504,0.18849688,0.00006265,24.40634384,-17.07649988,134.73000000,3982803.18762876
2023-10-21,06,BTC-240329-26000-P,BTCUSDT,P,240329-26000,1990.00000000,1990.00000000,1990.00000000,1990.00000000,0E-8,0E-8,1875.00000000,1925.00000000,0.03000000,2.46000000,"",0.47382057,1899.00000000,0.47004312,-0.27976067,0.00003639,66.18387983,-9.71911751,67.65000000,2009506.36216452
2023-10-21,06,BTC-240628-30000-P,BTCUSDT,P,240628-30000,6190.00000000,6190.00000000,6190.00000000,6190.00000000,0E-8,0E-8,4125.00000000,4990.00000000,2.22000000,3.51000000,"",0.49353778,4558.00000000,0.44896334,-0.43661508,0.00003561,97.03452542,-8.67683512,5.21000000,154760.20911866
2023-10-21,06,BTC-240927-35000-C,BTCUSDT,C,240927-35000,3780.00000000,3780.00000000,3780.00000000,3780.00000000,0E-8,0E-8,4875.00000000,5850.00000000,0.05000000,1.62000000,"",0.67168117,5362.00000000,0.62914848,0.51401871,0.00002204,114.64440500,-10.54379599,1.05000000,31189.67746153
2023-10-21,10,BTC-231103-28000-P,BTCUSDT,P,231103-28000,245.00000000,295.00000000,200.00000000,205.00000000,8.54000000,8.54000000,200.00000000,205.00000000,8.66000000,1.50000000,"",0.36853611,202.40000000,0.36681414,-0.17699794,0.00012657,14.51942186,-20.68320156,19.91000000,592829.14605061
